Budget for BRAND_AWARENESS,Reach for BRAND_AWARENESS,Impressions for BRAND_AWARENESS,Frequency for BRAND_AWARENESS,Weekly Frequency for BRAND_AWARENESS,CPM for BRAND_AWARENESS,Budget forLINK_CLICKS,Reach for LINK_CLICKS,Impressions for LINK_CLICKS,Frequency forLINK_CLICKS,Weekly Frequency for LINK_CLICKS,CPM for LINK_CLICKS,% Weight Reach for BRAND_AWARENESS,% Weight Reach for LINK_CLICKS,Total Budget,% Budget for BRAND_AWARENESS,% Budget for  LINK_CLICKS,Sum of Reach (NOT deduplicated),Total Impressions,Weighted Average Frequency,Weighted Average Weekly Frequency,Total CPM,Country,Gender,Gender Label,Age min,Age max,Campaign days,Campaign weeks,Frequency Caps,Included interests,Excluded interests,Scenario
11700.0,20094442.79868132,62326718.42474098,3.1016774481040255,0.7754193620260064,0.18772045594102083,18300.0,27503948.59082086,82259861.12516436,2.990833865253971,0.7477084663134927,0.22246572933250178,0.42216642647115055,0.5778335735288493,30000.0,0.39,0.61,47598391.38950218,144586579.54990533,3.0376283045230372,0.7594070761307593,0.20748813682009287,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[],Maximum Sum of Reach (NOT Deduplicated)
30000.0,36972748.98824308,133992983.80153385,3.6240944878598507,0.9060236219649627,0.22389231994740147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30000.0,1.0,0.0,36972748.98824308,133992983.80153385,3.6240944878598507,0.9060236219649627,0.22389231994740147,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[],Maximum Weighted Average Weekly Frequency
16200.000000000002,25249446.635107473,82362382.06789492,3.2619380770226334,0.8154845192556583,0.19669173709237348,13800.0,21887875.942900077,63657878.03981969,2.908359698408597,0.7270899246021493,0.21678385181748808,0.5356572086444275,0.4643427913555725,30000.0,0.54,0.46,47137322.57800755,146020260.1077146,3.097756505734014,0.7744391264335035,0.20545094206701134,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[],Minimum Total CPM
