account_id,campaign_id,campaign_name,buying_type,objective,start_time,stop_time,start_time_utc,stop_time_utc,account_currency,account_name,currency_divisor,campaign_daily_budget_curr,campaign_lifetime_budget_curr,campaign_budget_setup,campaign_daily_budget_curr_mean,campaign_daily_budget_curr_std,camp_daily_lower_bound_95,camp_daily_upper_bound_95,camp_daily_lower_bound_90,camp_daily_upper_bound_90,camp_daily_lower_bound_80,camp_daily_upper_bound_80,campaign_lifetime_budget_curr_mean,campaign_lifetime_budget_curr_std,camp_lifetime_lower_bound_95,camp_lifetime_upper_bound_95,camp_lifetime_lower_bound_90,camp_lifetime_upper_bound_90,camp_lifetime_lower_bound_80,camp_lifetime_upper_bound_80,campaign_lifetime_oulier_80,campaign_lifetime_oulier_90,campaign_lifetime_oulier_95
00000000,123456803,Campaign 15,AUCTION,REACH,2021-12-10T18:00:04-0800,2022-01-06T23:59:04-0800,2021-12-11 02:00:04+00:00,2022-01-07 07:59:04+00:00,USD,"00000000, USD",100,,52500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,Warning,-,-
00000000,123456804,Campaign 16,AUCTION,PRODUCT_CATALOG_SALES,2021-10-13T15:00:43-0700,2021-11-02T23:49:43-0700,2021-10-13 22:00:43+00:00,2021-11-03 06:49:43+00:00,USD,"00000000, USD",100,,45000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456805,Campaign 17,AUCTION,LINK_CLICKS,2021-10-13T13:00:23-0700,2021-10-16T23:59:00-0700,2021-10-13 20:00:23+00:00,2021-10-17 06:59:00+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456806,Campaign 18,AUCTION,MESSAGES,2021-10-13T13:00:23-0700,2021-10-16T23:59:00-0700,2021-10-13 20:00:23+00:00,2021-10-17 06:59:00+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456807,Campaign 19,AUCTION,BRAND_AWARENESS,2021-10-11T19:06:39-0700,2021-10-17T15:06:39-0700,2021-10-12 02:06:39+00:00,2021-10-17 22:06:39+00:00,USD,"00000000, USD",100,,22500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456808,Campaign 20,AUCTION,VIDEO_VIEWS,2021-10-11T21:06:06-0700,2021-11-30T11:06:06-0800,2021-10-12 04:06:06+00:00,2021-11-30 19:06:06+00:00,USD,"00000000, USD",100,,22500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456809,Campaign 21,AUCTION,BRAND_AWARENESS,2021-09-21T18:00:05-0700,2021-09-30T23:59:05-0700,2021-09-22 01:00:05+00:00,2021-10-01 06:59:05+00:00,USD,"00000000, USD",100,,30000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456810,Campaign 22,AUCTION,BRAND_AWARENESS,2021-09-09T17:10:54-0700,2021-09-18T14:00:00-0700,2021-09-10 00:10:54+00:00,2021-09-18 21:00:00+00:00,USD,"00000000, USD",100,,30000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456811,Campaign 23,AUCTION,MESSAGES,2021-08-04T17:00:39-0700,2021-09-03T13:50:39-0700,2021-08-05 00:00:39+00:00,2021-09-03 20:50:39+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456812,Campaign 24,AUCTION,LINK_CLICKS,2021-07-27T13:00:43-0700,2021-08-27T09:43:43-0700,2021-07-27 20:00:43+00:00,2021-08-27 16:43:43+00:00,USD,"00000000, USD",100,,60000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,Warning,Warning,-
