Budget for BRAND_AWARENESS,Reach for BRAND_AWARENESS,Impressions for BRAND_AWARENESS,Frequency for BRAND_AWARENESS,Weekly Frequency for BRAND_AWARENESS,CPM for BRAND_AWARENESS,Budget forLINK_CLICKS,Reach for LINK_CLICKS,Impressions for LINK_CLICKS,Frequency forLINK_CLICKS,Weekly Frequency for LINK_CLICKS,CPM for LINK_CLICKS,% Weight Reach for BRAND_AWARENESS,% Weight Reach for LINK_CLICKS,Total Budget,% Budget for BRAND_AWARENESS,% Budget for  LINK_CLICKS,Sum of Reach (NOT deduplicated),Total Impressions,Weighted Average Frequency,Weighted Average Weekly Frequency,Total CPM,Country,Gender,Gender Label,Age min,Age max,Campaign days,Campaign weeks,Frequency Caps,Included interests,Excluded interests
3000.0,7174942.115916416,18240444.095540076,2.5422251699611613,0.6355562924902903,0.164469679810785,27000.0,36940248.93757751,116215048.06340429,3.146023924235864,0.786505981058966,0.23232791665042735,0.16264107543399522,0.8373589245660048,30000.0,0.1,0.9,44115191.053493924,134455492.15894437,3.04782144549492,0.76195536137373,0.22312216123188178,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
3300.0,7764284.781066824,19972301.903282534,2.572317217420955,0.6430793043552387,0.16522882620043064,26700.0,36645532.11244316,115087934.10350351,3.1405686663692944,0.7851421665923236,0.23199651821004577,0.17483262314917336,0.8251673768508265,30000.0,0.11,0.89,44409816.893509984,135060236.00678605,3.041219774941337,0.7603049437353343,0.22212311252360512,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
3600.0,8316533.0397318825,21655639.349523995,2.603919141756724,0.650979785439181,0.16623845373002716,26400.0,36347659.21139541,113956328.72112899,3.1351738536424185,0.7837934634106046,0.23166769495185655,0.18620135326687742,0.8137986467331226,30000.0,0.12,0.88,44664192.251127295,135611968.070653,3.036253507359897,0.7590633768399743,0.2212194132037829,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
3900.0,8866832.042793663,23336099.66779366,2.6318206774639825,0.6579551693659956,0.1671230435042417,26100.0,36042485.38937436,112814375.97700101,3.1300346464165187,0.7825086616041297,0.2313534935061902,0.19743858401291253,0.8025614159870875,30000.0,0.13,0.87,44909317.43216802,136150475.64479467,3.031667985851077,0.7579169964627692,0.2203444377107247,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
4200.0,9380993.94687387,24955879.438380916,2.6602110527392817,0.6650527631848204,0.16829701435168043,25800.0,35736724.38578245,111671593.58274809,3.1248409482293042,0.7812102370573261,0.23103458249552364,0.20792261429771552,0.7920773857022844,30000.0,0.14,0.86,45117718.332656324,136627473.021129,3.028233885678144,0.757058471419536,0.2195751654966245,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
4500.0,9890381.384916915,26568273.3432467,2.686231490046244,0.671557872511561,0.16937495116308865,25500.0,35430963.38219053,110528811.81960006,3.119550097437946,0.7798875243594865,0.23070907558130546,0.21822788877383414,0.7817721112261659,30000.0,0.15,0.85,45321344.76710745,137097085.16284674,3.024987892580437,0.7562469731451092,0.2188230330671537,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
4800.0,10363355.064947942,28126163.190216493,2.7139684298184164,0.6784921074546041,0.1706596085480173,25200.0,35125202.378598616,109386029.79424222,3.1141717416510843,0.7785429354127711,0.2303767679236719,0.22782333948068928,0.7721766605193108,30000.0,0.16,0.84,45488557.443546556,137512192.9844587,3.022996086678134,0.7557490216695335,0.21816247235174646,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
5100.0,10832272.532104785,29677994.495000415,2.739741577523518,0.6849353943808795,0.17184449578825656,24900.0,34819441.375006706,108243247.39998928,3.1086990255621827,0.7771747563905457,0.23003744434964601,0.23728074162002855,0.7627192583799715,30000.0,0.17,0.83,45651713.90711149,137921241.8949897,3.0211525286653353,0.7552881321663338,0.217515442783218,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
5400.0,11301193.282455996,31229835.66515164,2.7633813980457154,0.6908453495114288,0.17291157269923405,24600.0,34505748.41574524,107089204.31114551,3.103513518234816,0.775878379558704,0.22971503204492208,0.24671355177810908,0.753286448221891,30000.0,0.18,0.82,45806941.69820124,138319039.97629714,3.0195983147891443,0.7548995786972861,0.21688988012887386,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
5700.0,11770114.032807207,32781677.835302867,2.785138722256013,0.6962846805640033,0.17387761629032977,24300.0,34190436.60681114,105932846.95201239,3.098315722714082,0.7745789306785205,0.22939060639999515,0.2560916670711355,0.7439083329288645,30000.0,0.19,0.81,45960550.63961835,138714524.78731525,3.0181137025784373,0.7545284256446093,0.2162715119126685,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
