Country,Account currency,Gender,Age min,Age max,Campaign days,Frequency cap,Campaign objective,Included interests/behaviors,Excluded interests/behaviors,Scenario budget,Budget,Impressions,Reach,Reach (millions),Lower Reach Percentage,Upper Reach Percentage,Frequency,Weekly frequency,CPM
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+30 pct,130000,170310685.2,40077137.36,40.1,0.835,0.982,4.249570486,2.124785243,0.763310886
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+30 pct,130000,262049477.6,38135791.58,38.1,0.794,0.935,6.871471667,1.717867917,0.496089522
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+30 pct,130000,367403258.4,34777464.72,34.8,0.725,0.852,10.56437215,1.320546519,0.353834641
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+30 pct,130000,202698281.8,38834050.47,38.8,0.809,0.952,5.219594238,2.609797119,0.641347321
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+30 pct,130000,299226904.8,36757270.69,36.8,0.766,0.901,8.140597866,2.035149467,0.434452912
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+30 pct,130000,401818427.7,33681995.16,33.7,0.702,0.826,11.92972539,1.491215674,0.323529214
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+35 pct,135000,171834054.7,40289861.09,40.3,0.839,0.987,4.265056484,2.132528242,0.785641707
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+35 pct,135000,265578963.2,38387942.49,38.4,0.8,0.941,6.918277624,1.729569406,0.508323394
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+35 pct,135000,374229463.5,35016767.39,35,0.73,0.858,10.68713807,1.335892259,0.360741238
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+35 pct,135000,204874118.4,39054408.46,39.1,0.814,0.957,5.245857824,2.622928912,0.658941213
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+35 pct,135000,303880780.9,37013979.95,37,0.771,0.907,8.209891986,2.052472997,0.444253169
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+35 pct,135000,410130574.2,33908640.22,33.9,0.706,0.831,12.09513095,1.511891369,0.329163463
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+40 pct,140000,173357424.3,40502584.82,40.5,0.844,0.993,4.280542482,2.140271241,0.807580065
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+40 pct,140000,268991954.5,38629816.19,38.6,0.805,0.947,6.963317134,1.740829284,0.520461663
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+40 pct,140000,380934194.4,35252017.02,35.3,0.734,0.864,10.80601583,1.350751979,0.367517545
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+40 pct,140000,206955414.2,39263869.43,39.3,0.818,0.962,5.270882152,2.635441076,0.676474208
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+40 pct,140000,308357612,37261359.71,37.3,0.776,0.913,8.275516401,2.0688791,0.454018304
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+40 pct,140000,418219629.7,34126080.46,34.1,0.711,0.836,12.25509356,1.531886695,0.334752341
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+45 pct,145000,174880793.8,40715308.55,40.7,0.848,0.998,4.29602848,2.14801424,0.829136218
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+45 pct,145000,272278073.4,38861506.19,38.9,0.81,0.952,7.006367882,1.75159197,0.5325438
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+45 pct,145000,387391301.7,35478765.8,35.5,0.739,0.87,10.91894444,1.364868055,0.374298543
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+45 pct,145000,208955212.8,39464060.22,39.5,0.822,0.967,5.294818197,2.647409099,0.693928608
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+45 pct,145000,312665046.3,37497922.21,37.5,0.781,0.919,8.338175828,2.084543957,0.463755069
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+45 pct,145000,426108645.1,34335267.05,34.3,0.715,0.842,12.41018013,1.551272516,0.340288801
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+50 pct,150000,176404163.4,40928032.28,40.9,0.853,1.003,4.311514478,2.155757239,0.850320067
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+50 pct,150000,275462650.2,39085776.22,39.1,0.814,0.958,7.047642758,1.761910689,0.544538433
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+50 pct,150000,393617162.6,35695892.9,35.7,0.744,0.875,11.02694568,1.37836821,0.381080944
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+50 pct,150000,210858209.4,39653124.75,39.7,0.826,0.972,5.317562071,2.658781036,0.711378515
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+50 pct,150000,316804889,37721953.06,37.7,0.786,0.925,8.398400848,2.099600212,0.473477542
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+50 pct,150000,433793519.1,34537528.33,34.5,0.72,0.847,12.5599982,1.569999775,0.345786632
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+55 pct,155000,177927533,41140756.01,41.1,0.857,1.008,4.327000477,2.163500238,0.871141174
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+55 pct,155000,278546374.9,39302941.48,39.3,0.819,0.963,7.087162259,1.771790565,0.556460302
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+55 pct,155000,399677125.8,35906317.62,35.9,0.748,0.88,11.1311087,1.391388588,0.387813037
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+55 pct,155000,212652595.7,39831344.69,39.8,0.83,0.976,5.338818007,2.669409004,0.728888352
