budget_,impressions_itp_Brand Awareness,impressions_itp_Link Clicks,impressions_itp_Post Engagement,impressions_itp_Reach,impressions_itp_Video Views,reach_itp_Brand Awareness,reach_itp_Link Clicks,reach_itp_Post Engagement,reach_itp_Reach,reach_itp_Video Views,reach_lower_bound_pct_ipt_Brand Awareness,reach_lower_bound_pct_ipt_Link Clicks,reach_lower_bound_pct_ipt_Post Engagement,reach_lower_bound_pct_ipt_Reach,reach_lower_bound_pct_ipt_Video Views,reach_upper_bound_pct_ipt_Brand Awareness,reach_upper_bound_pct_ipt_Link Clicks,reach_upper_bound_pct_ipt_Post Engagement,reach_upper_bound_pct_ipt_Reach,reach_upper_bound_pct_ipt_Video Views,frequency_itp_Brand Awareness,frequency_itp_Link Clicks,frequency_itp_Post Engagement,frequency_itp_Reach,frequency_itp_Video Views,weekly_freq_itp_Brand Awareness,weekly_freq_itp_Link Clicks,weekly_freq_itp_Post Engagement,weekly_freq_itp_Reach,weekly_freq_itp_Video Views,cpm_itp_Brand Awareness,cpm_itp_Link Clicks,cpm_itp_Post Engagement,cpm_itp_Reach,cpm_itp_Video Views
130528,323600063.5,330541180.4,240256853.4,361223419.6,84001263.4,63016383.27,63489295.69,54547247.8,66150101.1,27874024.47,0.612999837,0.617600153,0.530615251,0.643483474,0.271148098,0.72101125,0.726422147,0.624110387,0.756866145,0.318924765,5.135168501,5.20624821,4.404561582,5.460653044,3.013590444,1.283792125,1.301562052,1.101140395,1.365163261,0.753397611,0.400820012,0.389789347,0.538130924,0.360725035,1.553881391
140528,335424030.6,344059722.4,254611095.3,372710405.5,90436756.09,64550837.16,64851116.79,56272724.86,67395703.61,29155447.86,0.627926432,0.63084744,0.547400047,0.65560023,0.283613306,0.738567931,0.742003625,0.643852687,0.77111789,0.33358636,5.196270769,5.305368276,4.524590324,5.530176103,3.101865397,1.299067692,1.326342069,1.131147581,1.382544026,0.775466349,0.418953473,0.408436774,0.5519317,0.377041557,1.553881476
150528,345724944.8,354676608.9,266990911.5,383107250,96872254.37,65854774.54,65947814.1,57661978,68522943.31,30436872.36,0.640610647,0.641515701,0.560914183,0.666565596,0.296078525,0.753487123,0.754551649,0.659748032,0.78401537,0.348247967,5.249801706,5.378130521,4.630261272,5.590926469,3.1827091,1.312450427,1.34453263,1.157565318,1.397731617,0.795677275,0.435394963,0.42440508,0.563080267,0.392910025,1.55388146
160528,353903974.2,364623159.1,278890404.3,392741436.8,103307754.4,66871810.14,66992409.24,58933308.5,69570123.54,31694991.49,0.65050399,0.651677133,0.573281211,0.676752175,0.308317038,0.765123686,0.766503538,0.674294148,0.795996837,0.362642923,5.292273395,5.442749457,4.732290867,5.645257703,3.259416161,1.323068349,1.360687364,1.183072717,1.411314426,0.81485404,0.448806012,0.440255555,0.573324965,0.408735985,1.553881419
170528,364862659.9,373166713.2,291994960.8,401414490.3,109098794.1,68200918.25,67903326.15,60266972.14,70514120.63,32744778.55,0.663433057,0.660538192,0.586254593,0.685935026,0.318528974,0.780330872,0.776925928,0.689553457,0.806797719,0.374654217,5.349815744,5.495550941,4.845007249,5.692674393,3.331776429,1.337453936,1.373887735,1.211251812,1.423168598,0.832944107,0.467373466,0.454333795,0.584006741,0.423550469,1.553881428
180528,371905924.4,382959279.5,302230526.7,408827692.8,116178749.4,69031232.83,68969106.23,61261741.19,71321950.67,34028217.42,0.671510047,0.670905703,0.595931335,0.693793294,0.331013788,0.789831039,0.789120209,0.700935254,0.816040625,0.389338872,5.387501739,5.552615716,4.933425457,5.732141632,3.414171373,1.346875435,1.388153929,1.233356364,1.433035408,0.853542843,0.479803412,0.471400026,0.591939063,0.436695656,1.553881419
190528,382187553.9,391345772.5,316245009.2,418707549,121829199.1,70216906.95,69886971.83,62572074.41,72400300.73,35052518.62,0.683043842,0.679834356,0.608677767,0.704283081,0.340977808,0.803397105,0.799622103,0.715927625,0.828378727,0.401058565,5.442948454,5.599687585,5.054084137,5.783229095,3.475608954,1.360737113,1.399921896,1.263521034,1.445807274,0.868902238,0.498515378,0.486848923,0.602468149,0.455038176,1.553881429
200528,389455782.9,399317347.2,328075024.6,424871985.2,129049743.7,71036296.82,70760438.72,63664977.47,73074695.53,36305685.34,0.691014561,0.688331116,0.619309119,0.710843342,0.353168145,0.812772275,0.809616004,0.728432237,0.836094914,0.415396857,5.482483224,5.643221081,5.153138097,5.814212422,3.554525328,1.370620806,1.41080527,1.288284524,1.453553106,0.888631332,0.512131703,0.502172615,0.611224244,0.466928788,1.553881427
210528,397541925.7,407006218.1,339664857.3,433418189.3,135485237.8,71921008.08,71608152.05,64738434.08,74015905.87,37395135.37,0.699620701,0.696577355,0.629751304,0.719999084,0.363765908,0.822894829,0.819315241,0.740714349,0.846863912,0.427861961,5.527471996,5.683791243,5.246719148,5.855737225,3.623056985,1.381867999,1.420947811,1.311679787,1.463934306,0.905764246,0.527875989,0.517256291,0.619809555,0.484424302,1.553881467
220528,405490735.7,414422011.5,348923750.2,440761908,141920738,72769635.07,72426638.81,65584662.61,74827277.05,38484586.39,0.707875828,0.704539288,0.637983099,0.7278918,0.374363681,0.83260452,0.828680078,0.750396597,0.856147335,0.440327075,5.572244692,5.721955211,5.320200663,5.890388254,3.68771298,1.393061173,1.430488803,1.330050166,1.472597063,0.921928245,0.543850131,0.532133653,0.626584417,0.500331702,1.553881435
230528,411597738.7,421135040.3,361813010,447368187.6,148164631.2,73410105.58,73163100.27,66742094.1,75552026.94,39538080.71,0.714106085,0.71170331,0.64924216,0.734941896,0.38461168,0.839932558,0.83710641,0.763639521,0.864439668,0.452380786,5.606820048,5.756105294,5.421047252,5.921319357,3.74737395,1.401705012,1.439026323,1.355261813,1.480329839,0.936843487,0.556508855,0.545877895,0.635880236,0.515293006,1.553881436
240528,419500197.3,428494838.2,373120552.3,453498182.9,154791730.9,74221076.75,73958503.55,67760318.64,76213876.74,40604573.77,0.72199491,0.719440696,0.659147068,0.741380124,0.394986126,0.849211405,0.846207134,0.775289687,0.87201232,0.464583224,5.652035937,5.793718611,5.506470677,5.950329136,3.812158504,1.413008984,1.448429653,1.376617669,1.487582284,0.953039626,0.573367988,0.561331587,0.644637728,0.529591038,1.553881455
250528,426059500.4,435175108.7,383270975.8,459793558.3,161227229.7,74874847.63,74663249.96,68692291.96,76881099.28,41638624.62,0.728354549,0.726296206,0.668212957,0.747870616,0.405044987,0.856691621,0.854270595,0.785952997,0.879646445,0.476414469,5.690287883,5.828498182,5.579521502,5.980572799,3.872045193,1.422571971,1.457124546,1.394880376,1.4951432,0.968011298,0.588011192,0.575690106,0.653654181,0.544864832,1.553881441
260528,430748445.2,441591209.3,392680144.2,465586121.3,167662726.7,75333624.18,75317122.63,69567289.05,77485668.54,42672675.18,0.732817356,0.732656835,0.676724602,0.753751639,0.415103844,0.86194078,0.861751975,0.795964406,0.886563713,0.488245711,5.717873015,5.863085137,5.644596831,6.008668387,3.929030444,1.429468254,1.465771284,1.411149208,1.502167097,0.982257611,0.598860619,0.589970734,0.663457394,0.559565124,1.553881445
270528,438327730.6,447776489.7,401565616,469525756.1,174098222.1,76059548.88,75930642.33,70398532.28,77892504.13,43690460.91,0.73987888,0.738624925,0.684810625,0.757709184,0.425004484,0.870246555,0.868771651,0.805475198,0.891218583,0.499890857,5.762945069,5.897175169,5.704166291,6.027865199,3.984805156,1.440736267,1.474293792,1.426041573,1.5069663,0.996201289,0.61717493,0.604156715,0.673679829,0.569885661,1.553881462
280528,444146127.1,452739858.5,407926517.2,476497326.9,179674100.3,76605856.31,76411626.35,70994712.31,78605077.51,44550280.98,0.745193155,0.743303758,0.690610042,0.764640832,0.433368492,0.876497212,0.874274901,0.81229648,0.899371596,0.509728615,5.797808188,5.925005438,5.745869832,6.061908458,4.033054941,1.449452047,1.48125136,1.436467458,1.515477115,1.008263735,0.631611282,0.615921546,0.681486466,0.588723132,1.553881442
290528,449799931.4,459471083.3,418033516.9,480595061.6,186918771.5,77128625.8,77053630.45,71945110.87,79017363.13,45667434.87,0.750278461,0.749548934,0.699855164,0.768651392,0.444235748,0.882478556,0.881620486,0.823170605,0.904088823,0.522510696,5.831805794,5.962997325,5.810440009,6.082139193,4.093030191,1.457951449,1.490749331,1.452610002,1.520534798,1.023257548,0.645896977,0.632304755,0.694982887,0.600253823,1.553881441
300528,454101029.1,464459903.2,424489970.3,484481397.9,193404713.8,77521108.57,77524039.07,72555181.42,79404181.2,46667110.98,0.754096387,0.754124894,0.705789703,0.772414214,0.453960224,0.886969206,0.887002735,0.830150817,0.908514659,0.533948638,5.857765069,5.991163996,5.850573074,6.101458587,4.144338833,1.464441267,1.497790999,1.462643269,1.525364647,1.036084708,0.656997939,0.644855993,0.704437508,0.611517017,1.553881465
310528,458377959.2,468460350.6,430968411.6,491292658.2,199330818.1,77907410.8,77898378.76,73168992.19,80077021.96,47533052.46,0.757854191,0.75776633,0.711760624,0.778959358,0.462383779,0.89138914,0.891285798,0.837173824,0.916213066,0.543856435,5.883623159,6.013733597,5.890038244,6.135248496,4.193508517,1.47090579,1.503433399,1.472509561,1.533812124,1.048377129,0.668305303,0.655146424,0.714456395,0.632060194,1.553881447
320528,465747348,475487563.5,437734294.5,495873865.6,206275711.7,78567550.04,78542874.92,73811868.13,80529446.07,48537819.74,0.764275779,0.764035748,0.718014281,0.78336037,0.47215778,0.89894222,0.898659896,0.844529384,0.921389543,0.555352629,5.927982933,6.053858079,5.930402987,6.157667116,4.249789483,1.481995733,1.51346452,1.482600747,1.539416779,1.062447371,0.688198696,0.674102231,0.725563235,0.646385549,1.55388144
330528,470746994,480408772.2,444826610.9,500267226,212654091.8,79010607.6,78983406.98,74488497.13,80961491.93,49455260.63,0.768585677,0.76832108,0.724596276,0.787563151,0.481082302,0.904011529,0.903700309,0.852271134,0.92633286,0.565849664,5.958017964,6.082398666,5.971743242,6.179072372,4.299915158,1.489504491,1.520599666,1.49293581,1.544768093,1.074978789,0.702130865,0.688011731,0.73807582,0.660698571,1.554297105
340528,475566406.6,482717606.8,452207280.3,504489143.1,218438754.1,79431593.08,79188294.71,75196636.04,81372568.17,50231037.97,0.772680867,0.770314151,0.731484786,0.791561947,0.488628774,0.908828296,0.906044562,0.86037341,0.931036249,0.574725835,5.987115988,6.095819836,6.013654707,6.199743715,4.348675275,1.496778997,1.523954959,1.503413677,1.549935929,1.087168819,0.716044297,0.694637603,0.752390452,0.674994599,1.558916579
350528,478058291,488053437.5,458256732.4,507187979.6,223366078.7,79646483.58,79657296.03,75779986.28,81631361.16,50889561.05,0.774771241,0.774876421,0.7371594,0.794079389,0.495034641,0.911286998,0.91141071,0.867047898,0.933997267,0.582260424,6.002249442,6.12690917,6.047195366,6.213145852,4.389222205,1.500562361,1.531727293,1.511798842,1.553286463,1.097305551,0.723425188,0.710554847,0.764913075,0.684536926,1.562830103
